"Pregunta","Respuesta1","Respuesta2","Respuesta3","Correcta"
"¿Cuál es la capital de Francia?","París","Londres","Berlín","París"
"¿Cuánt planetas hay en el sistema solar?","8","7","9","8"
"¿Cuál es el símbolo químico del oro?","Au","Ag","Pb","Au"
"¿En qué año llegó el hombre a la Luna?","1969","1970","1968","1969"
"¿Cuál es el río más largo del mundo?","Amazonas","Nilo","Yangtsé","Nilo"
"¿Quién pintó la Mona Lisa?","Leonardo da Vinci","Michelangelo","Rafael","Leonardo da Vinci"
"¿Cuál es el continente más grande?","Asia","África","América del Norte","Asia"
"¿Quién escribió 'Cien años de soledad'?","Gabriel García Márquez","Mario Vargas Llosa","Isabel Allende","Gabriel García Márquez"
"¿Qué gas es esencial para la respiración humana?","Oxígeno","Nitrógeno","Dióxido de carbono","Oxígeno"
"¿Cuál es el país más grande del mundo?","Rusia","Canadá","China","Rusia"
"¿En qué año se fundó la Organización de las Naciones Unidas?","1945","1948","1950","1945"
"¿Quién fue el primer presidente de Estados Unidos?","George Washington","Thomas Jefferson","Abraham Lincoln","George Washington"
"¿Cuál es la montaña más alta del mundo?","Everest","K2","Kangchenjunga","Everest"
"¿Qué elemento químico tiene el símbolo 'O'?","Oxígeno","Carbono","Helio","Oxígeno"
"¿Cuál es el océano más grande?","Pacífico","Atlántico","Índico","Pacífico"
"¿Quién escribió 'Don Quijote de la Mancha'?","Miguel de Cervantes","Lope de Vega","Garcilaso de la Vega","Miguel de Cervantes"
"¿Cuál es la lengua más hablada del mundo?","Inglés","Español","Chino mandarín","Chino mandarín"
"¿Qué país tiene la mayor población?","China","India","Estados Unidos","China"
"¿Quién descubrió América?","Cristóbal Colón","Ferdinand Magellan","Juan Sebastián Elcano","Cristóbal Colón"
"¿Cuál es el metal más ligero?","Litio","Hidrógeno","Aluminio","Litio"
"¿En qué año se independizó Estados Unidos?","1776","1783","1791","1776"
"¿Qué es la fotosíntesis?","El proceso por el cual las plantas producen alimento","La reproducción de células","La digestión de alimentos","El proceso por el cual las plantas producen alimento"
"¿Cuál es el sistema operativo más utilizado?","Windows","macOS","Linux","Windows"
"¿Cuál es el planeta más grande del sistema solar?","Júpiter","Saturno","Urano","Júpiter"
"¿Quién pintó 'La Última Cena'?","Leonardo da Vinci","Rembrandt","Vermeer","Leonardo da Vinci"
"¿Qué país es conocido como 'la tierra del sol naciente'?","Japón","China","Corea del Sur","Japón"
"¿Quién fue el líder del movimiento por los derechos civiles en EE.UU. en los años 60?","Martin Luther King Jr.","Malcolm X","Rosa Parks","Martin Luther King Jr."
"¿En qué país se encuentra la Gran Muralla?","China","India","Japón","China"
"¿Cuál es la fórmula química del agua?","H2O","CO2","CH4","H2O"
"¿Cuál es la ciudad más poblada del mundo?","Tokio","Shanghai","Delhi","Tokio"
"¿Quién es el autor de 'Harry Potter'?","J.K. Rowling","Stephen King","George R.R. Martin","J.K. Rowling"
"¿Cuál es el símbolo químico del hidrógeno?","H","He","O","H"
"¿En qué continente se encuentra Egipto?","África","Asia","Europa","África"
"¿Cuál es el océano más pequeño?","Ártico","Atlántico","Índico","Ártico"
"¿Quién escribió 'Orgullo y prejuicio'?","Jane Austen","Charlotte Brontë","Emily Brontë","Jane Austen"
"¿Qué es la gravedad?","La fuerza que atrae a los objetos hacia el centro de la Tierra","El proceso de evaporación","La fuerza que repela a los objetos","La fuerza que atrae a los objetos hacia el centro de la Tierra"
"¿Cuál es el sistema solar?","El conjunto de planetas que giran alrededor del Sol","El conjunto de estrellas en una galaxia","El conjunto de galaxias en el universo","El conjunto de planetas que giran alrededor del Sol"
"¿Qué país es famoso por sus tulipanes?","Países Bajos","Francia","Bélgica","Países Bajos"
"¿Quién fue el primer hombre en caminar sobre la Luna?","Neil Armstrong","Buzz Aldrin","Michael Collins","Neil Armstrong"
"¿Cuál es la principal fuente de energía en el Sol?","Fusión nuclear","Reacción química","División atómica","Fusión nuclear"
